# video12 待标注队列，由 python -m src.select_frames 生成
# 共 55 帧（候选 186），按选取顺序排列；hint_axis_deg 是掩膜 PCA 主轴，仅作粗初值，不可当结果
k,frame,t,cx,cy,w,h,conf,hint_axis_deg,psi_vel_deg,speed_blps,prio,img
178,243,10.3315,459.12,232.11,80.00,119.00,0.1761,104.26,294.89,1.556,16,crops/video12/00178.jpg
78,101,4.5273,542.03,238.05,199.00,81.00,0.1766,4.35,194.22,0.618,17,crops/video12/00078.jpg
217,316,12.5951,469.49,315.48,133.00,106.00,0.1492,153.03,91.53,0.111,18,crops/video12/00217.jpg
83,109,4.8175,473.46,231.61,155.00,92.00,0.1528,167.84,173.17,0.221,19,crops/video12/00083.jpg
254,376,14.7427,521.53,241.99,138.00,73.00,0.1811,1.98,236.50,0.212,20,crops/video12/00254.jpg
109,144,6.3266,424.41,283.63,115.00,100.00,0.1749,29.22,90.79,0.590,21,crops/video12/00109.jpg
192,270,11.1441,435.35,265.04,96.00,111.00,0.2096,56.19,292.90,2.704,22,crops/video12/00192.jpg
279,406,16.1937,314.66,479.41,680.00,138.00,0.1273,177.03,178.51,3.260,23,crops/video12/00279.jpg
100,131,5.8042,431.69,249.64,64.00,120.00,0.2041,82.98,123.29,0.186,24,crops/video12/00100.jpg
68,87,3.9469,522.26,259.95,100.00,108.00,0.2224,49.08,245.89,0.206,25,crops/video12/00068.jpg
89,118,5.1657,449.82,236.33,80.00,111.00,0.1634,101.23,161.49,0.075,26,crops/video12/00089.jpg
194,273,11.2601,434.15,274.26,102.00,107.00,0.2011,40.97,106.23,0.838,27,crops/video12/00194.jpg
182,250,10.5636,451.61,236.76,73.00,122.00,0.1874,90.67,113.08,3.316,28,crops/video12/00182.jpg
212,308,12.3049,490.52,302.91,77.00,67.00,0.1324,175.55,353.77,0.475,29,crops/video12/00212.jpg
81,106,4.7014,488.52,231.03,197.00,85.00,0.1500,175.62,183.55,0.888,30,crops/video12/00081.jpg
210,303,12.1888,454.13,308.79,135.00,76.00,0.1454,164.02,354.41,0.915,31,crops/video12/00210.jpg
201,284,11.6664,437.67,289.15,126.00,93.00,0.1649,26.67,76.43,0.181,32,crops/video12/00201.jpg
75,97,4.3531,535.08,243.14,178.00,84.00,0.1896,11.92,323.99,0.164,33,crops/video12/00075.jpg
249,370,14.4524,520.94,259.72,111.00,98.00,0.2010,38.13,272.84,0.205,34,crops/video12/00249.jpg
204,292,11.8406,440.93,298.43,135.00,69.00,0.1665,4.80,63.11,0.132,35,crops/video12/00204.jpg
180,246,10.4476,455.17,233.78,75.00,119.00,0.1872,96.65,283.75,0.541,36,crops/video12/00180.jpg
195,275,11.3182,435.65,277.41,104.00,104.00,0.1850,34.97,79.11,0.197,37,crops/video12/00195.jpg
243,362,14.1042,523.59,276.61,101.00,119.00,0.2043,59.19,209.44,0.121,38,crops/video12/00243.jpg
114,150,6.6168,420.91,471.83,826.00,143.00,0.2040,178.05,92.41,1.373,39,crops/video12/00114.jpg
103,134,5.9783,425.49,266.00,99.00,115.00,0.1925,54.87,110.05,0.322,40,crops/video12/00103.jpg
104,137,6.0364,424.53,269.03,103.00,107.00,0.1947,45.77,105.20,0.292,41,crops/video12/00104.jpg
218,318,12.6531,470.81,317.25,133.00,109.00,0.1449,145.90,323.06,0.668,42,crops/video12/00218.jpg
203,289,11.7825,439.95,296.77,134.00,76.00,0.1692,10.19,55.56,0.189,43,crops/video12/00203.jpg
245,365,14.2203,523.01,271.14,100.00,114.00,0.2051,53.17,256.74,0.178,44,crops/video12/00245.jpg
227,337,13.1755,319.43,478.88,671.00,139.00,0.1203,177.59,2.27,0.076,45,crops/video12/00227.jpg
256,379,14.8587,517.29,238.11,137.00,74.00,0.1731,174.49,264.88,0.292,46,crops/video12/00256.jpg
106,140,6.1524,423.35,275.47,110.00,115.00,0.1729,37.32,85.71,0.170,47,crops/video12/00106.jpg
248,368,14.3944,521.39,261.91,102.00,103.00,0.2031,43.52,258.97,0.208,48,crops/video12/00248.jpg
206,296,11.9566,443.66,302.69,135.00,67.00,0.1798,0.22,137.12,0.208,49,crops/video12/00206.jpg
84,110,4.8755,468.81,230.53,145.00,95.00,0.1441,160.11,176.31,0.452,50,crops/video12/00084.jpg
101,132,5.8622,430.05,253.06,66.00,119.00,0.2085,78.28,112.51,0.300,51,crops/video12/00101.jpg
94,124,5.4559,441.83,239.38,71.00,135.00,0.1850,96.50,134.20,0.137,52,crops/video12/00094.jpg
193,271,11.2021,434.88,268.44,99.00,108.00,0.2092,51.92,324.30,0.127,53,crops/video12/00193.jpg
69,88,4.0049,521.36,257.16,104.00,106.00,0.2159,44.86,246.06,0.215,54,crops/video12/00069.jpg
