# video02 待标注队列，由 python -m src.select_frames 生成
# 共 50 帧（候选 104），按选取顺序排列；hint_axis_deg 是掩膜 PCA 主轴，仅作粗初值，不可当结果
k,frame,t,cx,cy,w,h,conf,hint_axis_deg,psi_vel_deg,speed_blps,prio,img
88,203,4.2256,769.92,612.87,174.00,223.00,0.3400,121.22,350.23,0.994,37,crops/video02/00088.jpg
77,177,3.6974,654.62,591.62,224.00,148.00,0.3682,159.46,30.07,0.989,38,crops/video02/00077.jpg
8,19,0.3841,1274.53,471.59,176.00,157.00,0.3369,29.92,215.87,1.133,39,crops/video02/00008.jpg
21,50,1.0084,1037.15,360.16,250.00,106.00,0.3586,2.58,200.85,1.854,40,crops/video02/00021.jpg
84,194,4.0336,727.54,614.04,202.00,202.00,0.3653,134.31,5.28,1.035,41,crops/video02/00084.jpg
44,105,2.1128,683.47,328.93,107.00,231.00,0.3729,97.30,159.30,0.616,42,crops/video02/00044.jpg
33,79,1.5846,829.16,309.45,218.00,189.00,0.3524,141.82,182.65,1.482,43,crops/video02/00033.jpg
53,120,2.5450,624.96,368.99,148.00,227.00,0.3693,69.06,133.78,1.073,44,crops/video02/00053.jpg
52,117,2.4970,633.55,362.09,136.00,230.00,0.3755,74.30,137.00,1.091,45,crops/video02/00052.jpg
50,113,2.4009,651.26,346.53,112.00,229.00,0.3715,83.21,144.58,1.098,46,crops/video02/00050.jpg
92,213,4.4177,810.24,600.28,139.00,231.00,0.3394,105.77,337.41,0.983,47,crops/video02/00092.jpg
49,111,2.3529,661.42,339.95,99.00,230.00,0.3743,87.49,148.24,0.955,48,crops/video02/00049.jpg
39,93,1.8727,744.99,311.89,169.00,224.00,0.3567,117.84,170.90,1.265,49,crops/video02/00039.jpg
