k,frame,t,cx,cy,vx,vy,speed_px_s,speed_bl_per_s,psi_vel_deg,axis_deg,psi_body_deg,beta_deg
24,57,1.1524,981.9967,340.9605,-373.1346,-115.5708,390.6226,1.7675,197.2093,174.8133,174.8133,-22.3960
25,59,1.2005,964.1035,335.6748,-373.8835,-106.5190,388.7610,1.7591,195.9022,171.4664,171.4664,-24.4358
26,62,1.2485,946.0899,330.7307,-376.2151,-97.9786,388.7642,1.7591,194.5974,167.9519,167.9519,-26.6455
27,64,1.2965,927.9728,326.2652,-376.4165,-86.7286,386.2787,1.7479,192.9749,165.0803,165.0803,-27.8946
28,67,1.3445,909.9399,322.4015,-369.2302,-72.4166,376.2647,1.7026,191.0965,161.1470,161.1470,-29.9495
29,69,1.3925,892.5129,319.3105,-356.1269,-59.3147,361.0327,1.6336,189.4561,157.9778,157.9778,-31.4783
30,71,1.4406,875.7385,316.7051,-340.7136,-56.2763,345.3299,1.5626,189.3790,154.8705,154.8705,-34.5085
31,74,1.4886,859.7917,313.9059,-332.7950,-49.4973,336.4558,1.5224,188.4597,150.7863,150.7863,-37.6734
32,76,1.5366,843.7777,311.9515,-332.7346,-30.5610,334.1352,1.5119,185.2478,146.4985,146.4985,-38.7492
33,79,1.5846,827.8368,310.9709,-327.0698,-15.1626,327.4211,1.4815,182.6543,141.8162,141.8162,-40.8381
34,81,1.6326,812.3668,310.4953,-313.4628,-8.0103,313.5651,1.4188,181.4638,138.5686,138.5686,-42.8952
35,83,1.6807,797.7326,310.2016,-293.9032,-6.3775,293.9724,1.3302,181.2431,134.2923,134.2923,-46.9507
36,86,1.7287,784.1411,309.8828,-272.4849,-9.4147,272.6475,1.2337,181.9789,130.3221,130.3221,-51.6568
37,88,1.7767,771.5639,309.2974,-268.4116,1.7355,268.4172,1.2146,179.6295,125.9869,125.9869,-53.6426
38,90,1.8247,758.3636,310.0495,-276.4671,26.2726,277.7127,1.2566,174.5715,122.0760,122.0760,-52.4955
39,93,1.8727,745.0128,311.8206,-276.0473,44.1979,279.5631,1.2650,170.9036,117.8357,117.8357,-53.0679
40,95,1.9207,731.8528,314.2942,-269.2256,56.5358,275.0976,1.2448,168.1405,113.2317,113.2317,-54.9088
41,98,1.9688,719.1571,317.2501,-270.8159,70.4927,279.8401,1.2662,165.4098,109.9005,109.9005,-55.5093
42,100,2.0168,705.8444,321.0641,-255.9807,77.8419,267.5546,1.2107,163.0859,105.8962,105.8962,-57.1897
43,102,2.0648,694.5734,324.7259,-188.3376,63.1926,198.6564,0.8989,161.4519,101.3291,101.3291,-60.1229
44,105,2.1128,687.7569,327.1329,-127.4051,48.1528,136.2011,0.6163,159.2959,97.2975,97.2975,-61.9984
45,106,2.1608,682.3378,329.3503,-84.0928,35.7937,91.3936,0.4135,156.9432,96.8378,96.8378,-60.1053
46,107,2.2089,679.6809,330.5705,-61.0517,28.7082,67.4646,0.3053,154.8158,96.8385,96.8385,-57.9773
47,108,2.2569,676.4745,332.1074,-104.5395,51.4782,116.5269,0.5273,153.7831,91.7286,91.7286,-62.0544
48,109,2.3049,669.6412,335.5143,-161.8798,85.0576,182.8658,0.8274,152.2809,91.7286,91.7286,-60.5523
49,111,2.3529,660.9280,340.2761,-179.4760,111.1162,211.0888,0.9552,148.2377,87.4892,87.4892,-60.7485
50,113,2.4009,652.4048,346.1856,-197.8177,140.6991,242.7510,1.0984,144.5774,83.2065,83.2065,-61.3709
51,115,2.4490,641.9301,353.7885,-200.2353,159.2804,255.8602,1.1577,141.4989,78.7700,78.7700,-62.7289
52,117,2.4970,633.1747,361.4825,-176.2734,164.4017,241.0399,1.0907,136.9958,74.3049,74.3049,-62.6909
53,120,2.5450,625.0013,369.5772,-164.0505,171.2163,237.1236,1.0730,133.7756,69.0627,69.0627,-64.7129
54,122,2.5930,617.4198,377.9256,-152.0057,176.1012,232.6313,1.0526,130.7999,64.4716,64.4716,-66.3282
55,124,2.6410,610.4031,386.4894,-137.7226,184.4449,230.1900,1.0416,126.7482,60.2736,60.2736,-66.4746
56,127,2.6890,604.1933,395.6392,-120.6359,191.4615,226.2974,1.0240,122.2142,55.7549,55.7549,-66.4593
57,129,2.7371,598.8176,404.8769,-103.3576,196.7219,222.2212,1.0055,117.7174,51.6033,51.6033,-66.1142
58,131,2.7851,594.2671,414.5318,-84.4955,206.1157,222.7626,1.0080,112.2908,47.2738,47.2738,-65.0170
59,134,2.8331,590.7028,424.6717,-64.9755,214.0635,223.7074,1.0123,106.8848,43.4595,43.4595,-63.4254
60,136,2.8811,588.0270,435.0899,-47.2286,218.7774,223.8171,1.0127,102.1818,39.4984,39.4984,-62.6834
61,138,2.9291,586.1671,445.6825,-32.5515,221.5936,223.9717,1.0134,98.3568,35.3757,35.3757,-62.9811
62,141,2.9772,584.9008,456.3712,-19.2358,222.4038,223.2341,1.0101,94.9432,31.2867,31.2867,-63.6565
63,143,3.0252,584.3198,467.0415,-3.0860,221.7740,221.7955,1.0036,90.7972,27.6209,27.6209,-63.1764
64,146,3.0732,584.6045,477.6697,17.4920,222.8919,223.5772,1.0117,85.5128,23.7811,23.7811,-61.7316
65,148,3.1212,585.9997,488.4475,39.6982,223.7920,227.2858,1.0284,79.9410,20.1601,20.1601,-59.7809
66,150,3.1692,588.4170,499.1621,59.8943,221.2495,229.2131,1.0372,74.8525,17.0484,17.0484,-57.8042
67,153,3.2172,591.7518,509.6957,76.3067,216.3144,229.3788,1.0379,70.5693,13.6127,13.6127,-56.9566
68,155,3.2653,595.7453,519.9364,88.1432,209.2657,227.0713,1.0275,67.1591,10.0790,10.0790,-57.0800
69,158,3.3133,600.2168,529.7930,97.9055,201.8594,224.3495,1.0152,64.1258,6.5183,6.5183,-57.6075
70,160,3.3613,605.1478,539.3224,107.6360,194.1178,221.9622,1.0044,60.9922,2.8344,2.8344,-58.1577
71,162,3.4093,610.5539,548.4355,117.7715,185.0607,219.3572,0.9926,57.5276,179.7248,359.7248,-57.8027
72,165,3.4573,616.4583,557.0951,129.5043,174.9557,217.6714,0.9849,53.4907,176.4416,356.4416,-57.0491
73,167,3.5054,622.9911,565.2378,142.3389,163.4766,216.7601,0.9808,48.9539,172.6306,352.6306,-56.3234
74,170,3.5534,630.1281,572.7950,154.1830,150.8903,215.7319,0.9762,44.3816,169.2395,349.2395,-55.1422
75,172,3.6014,637.7984,579.7289,165.6451,137.6196,215.3542,0.9745,39.7201,165.9858,345.9858,-53.7343
76,174,3.6494,646.0362,586.0116,177.3803,123.4381,216.1036,0.9778,34.8339,162.6256,342.6256,-52.2083
77,177,3.6974,654.8335,591.5836,189.2421,109.5699,218.6736,0.9895,30.0705,159.4557,339.4557,-50.6148
78,179,3.7455,664.2105,596.5344,200.4658,97.5296,222.9317,1.0087,25.9436,155.9354,335.9354,-50.0082
79,182,3.7935,674.0857,600.9500,209.4535,85.5205,226.2400,1.0237,22.2103,152.7696,332.7696,-49.4407
80,184,3.8415,684.3259,604.7475,215.2361,72.9303,227.2563,1.0283,18.7184,149.2281,329.2281,-49.4903
81,186,3.8895,694.7564,607.9541,220.7140,60.7156,228.9127,1.0358,15.3809,145.5530,325.5530,-49.8279
82,189,3.9375,705.5227,610.5785,225.6394,48.1711,230.7241,1.0440,12.0510,142.0533,322.0533,-49.9977
83,191,3.9855,716.4262,612.5803,228.1138,34.5373,230.7136,1.0440,8.6094,138.3433,318.3433,-50.2661
84,194,4.0336,727.4301,613.8954,227.6879,21.0405,228.6580,1.0347,5.2797,134.3057,314.3057,-50.9740
85,196,4.0816,738.2928,614.6010,224.6953,8.0871,224.8408,1.0174,2.0613,131.5231,311.5231,-50.5382
86,198,4.1296,749.0092,614.6720,220.8434,-5.7666,220.9187,0.9996,358.5042,127.9007,307.9007,-50.6035
87,201,4.1776,759.5020,614.0472,217.7403,-20.8708,218.7383,0.9898,354.5248,125.0717,305.0717,-49.4531
88,203,4.2256,769.9204,612.6676,216.4550,-37.2561,219.6378,0.9938,350.2340,121.2184,301.2184,-49.0156
89,206,4.2737,780.2897,610.4692,214.3674,-53.3919,220.9164,0.9996,346.0141,117.1825,297.1825,-48.8316
90,208,4.3217,790.5077,607.5400,211.3243,-66.4922,221.5382,1.0024,342.5341,113.1807,293.1807,-49.3534
91,211,4.3697,800.5847,604.0834,207.3406,-75.2712,220.5807,0.9981,340.0475,109.4288,289.4288,-50.6187
92,213,4.4177,810.4201,600.3112,200.5581,-83.4543,217.2284,0.9829,337.4073,105.7662,285.7662,-51.6411
93,215,4.4657,819.8458,596.0687,192.3949,-93.5215,213.9208,0.9680,334.0760,101.3847,281.3847,-52.6913
94,218,4.5138,828.8972,591.3296,184.5004,-104.1733,211.8784,0.9587,330.5499,98.1453,278.1453,-52.4046
95,220,4.5618,837.5647,586.0642,175.4384,-115.3754,209.9765,0.9501,326.6695,94.1656,274.1656,-52.5039
96,222,4.6098,845.7458,580.2493,166.8807,-125.0152,208.5137,0.9435,323.1621,90.3674,270.3674,-52.7946
97,225,4.6578,853.5915,574.0581,158.4324,-132.1668,206.3222,0.9336,320.1646,86.7594,266.7594,-53.4052
98,227,4.7058,860.9613,567.5564,149.4693,-138.4060,203.7089,0.9218,317.2008,82.7536,262.7536,-54.4473
99,230,4.7538,867.9461,560.7659,141.6591,-145.0023,202.7139,0.9173,314.3318,78.9166,258.9166,-55.4153
100,232,4.8019,874.5658,553.6307,134.6153,-152.4174,203.3527,0.9201,311.4510,76.2042,256.2042,-55.2468
101,234,4.8499,880.8742,546.1282,127.0827,-162.0672,205.9510,0.9319,308.1013,72.6517,252.6517,-55.4496
102,237,4.8979,886.7705,538.0662,117.3286,-172.4342,208.5655,0.9437,304.2324,69.2187,249.2187,-55.0137
103,239,4.9459,892.1421,529.5681,104.9015,-182.6262,210.6102,0.9530,299.8733,65.5736,245.5736,-54.2997
104,242,4.9939,896.8449,520.5273,90.4010,-193.9156,213.9523,0.9681,294.9943,62.4457,242.4457,-52.5487
105,244,5.0420,900.8240,510.9450,75.6307,-205.2668,218.7566,0.9898,290.2264,58.5617,238.5617,-51.6647
106,246,5.0900,904.1083,500.8140,62.5126,-215.0878,223.9879,1.0135,286.2058,55.2974,235.2974,-50.9084
107,249,5.1380,906.8275,490.2885,51.0400,-224.5355,230.2635,1.0419,282.8065,52.5641,232.5641,-50.2424
108,251,5.1860,909.0101,479.2503,40.7061,-233.0364,236.5649,1.0704,279.9083,50.3173,230.3173,-49.5910
109,254,5.2340,910.7368,467.9083,34.0454,-240.5028,242.9005,1.0991,278.0572,48.2272,228.2272,-49.8300
110,256,5.2821,912.2797,456.1530,26.8471,-249.7426,251.1815,1.1366,276.1357,46.1401,226.1401,-49.9956
111,258,5.3301,913.3151,443.9237,16.6193,-256.9644,257.5013,1.1652,273.7005,44.8529,224.8529,-48.8476
112,261,5.3781,913.8758,431.4748,4.0165,-261.4664,261.4972,1.1832,270.8801,43.2180,223.2180,-47.6621
113,263,5.4261,913.7009,418.8132,-10.5934,-265.5819,265.7931,1.2027,267.7158,41.0003,221.0003,-46.7156
114,266,5.4741,912.8584,405.9691,-24.2738,-267.6146,268.7133,1.2159,264.8172,40.2267,220.2267,-44.5906
115,268,5.5221,911.3697,393.1122,-35.8131,-268.8852,271.2597,1.2274,262.4134,39.0563,219.0563,-43.3571
116,270,5.5702,909.4190,380.1461,-47.0259,-271.7791,275.8176,1.2480,260.1833,38.8360,218.8360,-41.3473
117,273,5.6182,906.8535,367.0113,-62.1942,-275.3633,282.2996,1.2774,257.2726,38.6656,218.6656,-38.6070
118,275,5.6662,903.4460,353.7009,-80.6955,-276.5529,288.0855,1.3036,253.7333,38.5902,218.5902,-35.1430
119,278,5.7142,899.1037,340.4519,-99.0356,-275.5885,292.8431,1.3251,250.2336,39.2363,219.2363,-30.9973
120,280,5.7622,893.9349,327.2342,-116.1010,-279.9479,303.0681,1.3713,247.4751,40.0563,220.0563,-27.4188
121,282,5.8103,887.9537,313.5664,-128.2351,-289.6608,316.7770,1.4334,246.1207,39.7596,219.7596,-26.3611
122,285,5.8583,881.6196,299.4159,-138.0326,-302.5607,332.5598,1.5048,245.4768,41.6792,221.6792,-23.7976
123,287,5.9063,874.6974,284.5093,-149.0688,-313.4843,347.1223,1.5707,244.5679,43.2419,223.2419,-21.3260
124,290,5.9543,867.3034,269.3097,-155.2545,-311.2151,347.7913,1.5737,243.4870,45.1891,225.1891,-18.2979
125,292,6.0023,859.7872,254.6211,-163.1536,-306.1444,346.9056,1.5697,241.9455,45.0676,225.0676,-16.8779
126,295,6.0503,851.6346,239.9084,-175.7385,-311.3583,357.5304,1.6178,240.5585,46.2943,226.2943,-14.2642
127,297,6.0984,842.9097,224.7191,-179.7049,-314.2897,362.0385,1.6382,240.2399,48.8243,228.8243,-11.4156
128,299,6.1464,834.3762,209.7249,-180.4737,-315.2958,363.2936,1.6439,240.2134,51.1766,231.1766,-9.0368
129,302,6.1944,825.5775,194.4389,-186.9825,-317.1588,368.1741,1.6659,239.4783,53.2689,233.2689,-6.2094
130,304,6.2424,816.4189,179.2658,-185.2767,-296.1565,349.3367,1.5807,237.9697,54.7040,234.7040,-3.2657
131,307,6.2904,807.7840,165.9968,-173.0725,-259.0681,311.5612,1.4098,236.2548,55.0211,235.0211,-1.2337
132,309,6.3385,799.7975,154.3856,-167.0746,-238.5492,291.2381,1.3178,234.9935,53.1341,233.1341,-1.8593
133,311,6.3865,791.7386,143.0872,-161.6884,-227.8991,279.4301,1.2644,234.6453,49.3738,229.3738,-5.2715
134,314,6.4345,784.2694,132.4988,-149.0158,-213.4023,260.2811,1.1777,235.0740,48.0806,228.0806,-6.9934
135,316,6.4825,777.4276,122.5927,-137.1095,-186.1834,231.2213,1.0463,233.6313,44.8488,224.8488,-8.7825
136,319,6.5305,771.1018,114.6183,-125.3034,-158.1767,201.7939,0.9131,231.6147,39.4563,219.4563,-12.1584
137,321,6.5786,765.3938,107.4018,-151.1639,-162.8652,222.2062,1.0055,227.1339,33.3955,213.3955,-13.7384
138,323,6.6266,756.5844,98.9771,-198.5162,-177.3753,266.2155,1.2046,221.7810,26.6070,206.6070,-15.1740
139,326,6.6746,746.3288,90.3671,-228.6336,-181.2350,291.7524,1.3201,218.4034,1.6880,181.6880,-36.7154
140,328,6.7226,734.6270,81.5718,-243.6923,-183.1648,304.8529,1.3794,216.9294,6.1083,186.1083,-30.8211
141,331,6.7706,,,,,,,,,,
142,333,6.8186,,,,,,,,,,
