k,frame,t,cx,cy,vx,vy,speed_px_s,speed_bl_per_s,psi_vel_deg,axis_deg,axis_src,psi_body_deg,beta_deg
100,197,3.4238,302.8539,502.9118,74.5217,165.4532,181.4615,0.3673,65.7527,24.0655,interp,24.0655,-41.6872
101,199,3.4580,305.3415,508.4936,71.6577,160.4093,175.6872,0.3556,65.9288,23.6055,interp,23.6055,-42.3234
102,201,3.4922,307.7607,513.8959,71.9505,157.1461,172.8345,0.3499,65.3990,23.1456,interp,23.1456,-42.2534
103,203,3.5265,310.2683,519.2543,73.8980,153.9319,170.7511,0.3457,64.3558,22.6860,annotated,22.6860,-41.6698
104,205,3.5607,312.8209,524.4364,77.5619,151.5489,170.2437,0.3446,62.8969,22.1390,interp,22.1390,-40.7579
105,207,3.5950,315.5794,529.6316,81.9784,149.8729,170.8284,0.3458,61.3219,21.5912,interp,21.5912,-39.7307
106,209,3.6292,318.4344,534.6991,84.6015,147.1739,169.7574,0.3436,60.1080,21.0430,interp,21.0430,-39.0650
107,211,3.6634,321.3725,539.7094,87.2246,144.9349,169.1575,0.3424,58.9597,20.4948,interp,20.4948,-38.4649
108,213,3.6977,324.4071,544.6235,88.6001,144.7433,169.7074,0.3435,58.5284,19.9470,interp,19.9470,-38.5814
109,215,3.7319,327.4395,549.6208,89.2537,148.1559,172.9635,0.3501,58.9339,19.4000,annotated,19.4000,-39.5339
110,217,3.7661,330.5188,554.7686,91.1788,150.2266,175.7316,0.3557,58.7447,19.0038,interp,19.0038,-39.7409
111,219,3.8004,333.6830,559.9077,91.7990,149.3507,175.3074,0.3549,58.4229,18.6072,interp,18.6072,-39.8157
112,221,3.8346,336.8048,564.9954,92.2943,148.3876,174.7487,0.3537,58.1192,18.2105,interp,18.2105,-39.9087
113,223,3.8689,340.0029,570.0686,96.1266,146.9844,175.6267,0.3555,56.8156,17.8138,interp,17.8138,-39.0018
114,225,3.9031,343.3871,575.0603,98.5270,145.7016,175.8878,0.3560,55.9325,17.4172,interp,17.4172,-38.5152
115,227,3.9373,346.7496,580.0455,99.9034,145.3813,176.3984,0.3571,55.5038,17.0210,annotated,17.0210,-38.4828
116,229,3.9716,350.2280,585.0153,100.4646,142.6394,174.4682,0.3532,54.8420,16.5539,interp,16.5539,-38.2881
117,231,4.0058,353.6289,589.8128,104.0521,136.9019,171.9563,0.3481,52.7634,16.0865,interp,16.0865,-36.6769
118,233,4.0401,357.3531,594.3897,112.7109,134.8114,175.7209,0.3557,50.1022,15.6191,interp,15.6191,-34.4831
119,235,4.0743,361.3468,599.0441,119.6719,135.0272,180.4265,0.3652,48.4501,15.1520,annotated,15.1520,-33.2981
120,237,4.1085,365.5476,603.6358,121.7714,135.1971,181.9519,0.3683,47.9908,14.7000,interp,14.7000,-33.2907
121,239,4.1428,369.6852,608.3018,117.7488,135.1706,179.2648,0.3629,48.9405,14.2480,interp,14.2480,-34.6925
122,241,4.1770,373.6106,612.8917,110.1601,134.3920,173.7712,0.3518,50.6588,13.7960,annotated,13.7960,-36.8628
123,243,4.2112,377.2284,617.5043,110.9773,134.1868,174.1323,0.3525,50.4080,13.2997,interp,13.2997,-37.1083
124,245,4.2455,381.2098,622.0802,118.4359,134.6814,179.3492,0.3631,48.6723,12.8027,interp,12.8027,-35.8695
125,247,4.2797,385.3384,626.7267,123.2845,133.6976,181.8629,0.3681,47.3204,12.3053,interp,12.3053,-35.0151
126,249,4.3140,389.6517,631.2352,126.2053,132.6321,183.0821,0.3706,46.4223,11.8077,interp,11.8077,-34.6146
127,251,4.3482,393.9804,635.8087,125.4738,130.9936,181.3919,0.3672,46.2330,11.3103,interp,11.3103,-34.9227
128,253,4.3824,398.2436,640.2050,123.6779,128.4148,178.2879,0.3609,46.0765,10.8133,interp,10.8133,-35.2632
129,255,4.4167,402.4493,644.6020,123.8102,127.9408,178.0388,0.3604,45.9400,10.3170,annotated,10.3170,-35.6230
130,257,4.4509,406.7216,648.9658,126.2053,127.4886,179.3910,0.3631,45.2898,10.2193,interp,10.2193,-35.0705
131,259,4.4851,411.0912,653.3318,128.5269,126.6158,180.4182,0.3652,44.5709,10.1217,interp,10.1217,-34.4492
132,261,4.5194,415.5225,657.6359,130.4247,127.8365,182.6274,0.3697,44.4258,10.0240,annotated,10.0240,-34.4018
133,263,4.5536,420.0221,662.0855,132.2760,128.4837,184.4044,0.3733,44.1668,9.5074,interp,9.5074,-34.6594
134,265,4.5879,424.5802,666.4339,132.0848,124.5050,181.5156,0.3674,43.3080,8.9905,interp,8.9905,-34.3175
135,267,4.6221,429.0667,670.6110,133.3357,121.1760,180.1723,0.3647,42.2647,8.4736,interp,8.4736,-33.7911
136,269,4.6563,433.7104,674.7314,134.3824,116.6916,177.9763,0.3603,40.9696,7.9570,annotated,7.9570,-33.0126
137,271,4.6906,438.2686,678.6016,134.3481,111.4865,174.5814,0.3534,39.6870,7.6817,interp,7.6817,-32.0054
138,273,4.7248,442.9099,682.3655,137.2520,111.8326,177.0442,0.3584,39.1731,7.4062,interp,7.4062,-31.7669
139,275,4.7590,447.6670,686.2593,142.2305,115.0700,182.9498,0.3703,38.9742,7.1308,interp,7.1308,-31.8434
140,277,4.7933,452.6492,690.2450,146.8031,117.1075,187.7906,0.3801,38.5800,6.8553,interp,6.8553,-31.7247
141,279,4.8275,457.7194,694.2783,150.6000,117.5034,191.0168,0.3867,37.9626,6.5800,annotated,6.5800,-31.3826
142,281,4.8618,462.9617,698.2911,150.9445,114.0371,189.1790,0.3830,37.0707,6.0267,interp,6.0267,-31.0440
143,283,4.8960,468.0554,702.0871,147.0114,105.8429,181.1493,0.3667,35.7525,5.4733,interp,5.4733,-30.2793
144,285,4.9302,473.0283,705.5388,143.2848,97.9198,173.5477,0.3513,34.3484,4.9200,annotated,4.9200,-29.4284
145,287,4.9645,477.8669,708.7922,139.6025,93.2528,167.8837,0.3398,33.7424,4.1241,interp,4.1241,-29.6183
146,289,4.9987,482.5877,711.9243,137.1624,90.7901,164.4882,0.3330,33.5013,3.3270,interp,3.3270,-30.1743
147,291,5.0329,487.2591,715.0091,136.0929,87.6978,161.9018,0.3277,32.7976,2.5299,interp,2.5299,-30.2677
148,293,5.0672,491.9067,717.9294,136.2263,84.2192,160.1576,0.3242,31.7256,1.7340,annotated,1.7340,-29.9916
149,295,5.1014,496.5873,720.7760,133.8068,79.4809,155.6325,0.3150,30.7102,1.8630,interp,1.8630,-28.8472
150,297,5.1357,501.0692,723.3719,132.9572,73.7094,152.0220,0.3077,29.0033,1.9920,interp,1.9920,-27.0113
151,299,5.1699,505.6916,725.8233,136.1561,71.0846,153.5952,0.3109,27.5682,2.1210,interp,2.1210,-25.4472
152,301,5.2041,510.3925,728.2395,144.6175,68.0420,159.8247,0.3235,25.1968,2.2500,annotated,2.2500,-22.9468
153,303,5.2384,515.5943,730.4825,162.4049,61.7632,173.7528,0.3517,20.8220,2.1575,interp,2.1575,-18.6645
154,305,5.2726,521.5133,732.4687,180.8159,56.1526,189.3344,0.3833,17.2522,2.0650,interp,2.0650,-15.1872
155,307,5.3068,527.9758,734.3276,191.6936,53.5731,199.0390,0.4029,15.6142,1.9725,interp,1.9725,-13.6417
156,309,5.3411,534.6396,736.1372,195.5304,50.5905,201.9692,0.4088,14.5063,1.8800,interp,1.8800,-12.6263
157,311,5.3753,541.3648,737.7918,194.2192,48.6255,200.2138,0.4053,14.0559,1.7875,interp,1.7875,-12.2684
158,313,5.4096,547.9388,739.4668,189.8489,46.3972,195.4362,0.3956,13.7333,1.6950,interp,1.6950,-12.0383
159,315,5.4438,554.3648,740.9689,188.3817,41.9891,193.0045,0.3907,12.5655,1.6025,interp,1.6025,-10.9630
160,317,5.4780,560.8384,742.3421,190.1151,42.0803,194.7165,0.3942,12.4807,1.5100,annotated,1.5100,-10.9707
161,319,5.5123,567.3830,743.8503,189.7336,42.8840,194.5196,0.3938,12.7361,1.1683,interp,1.1683,-11.5678
162,321,5.5465,573.8304,745.2786,188.5765,40.1904,192.8118,0.3903,12.0312,0.8265,interp,0.8265,-11.2047
163,323,5.5807,580.2959,746.6024,191.7992,36.6498,195.2694,0.3953,10.8179,0.4847,interp,0.4847,-10.3332
164,325,5.6150,586.9640,747.7882,197.0335,35.2117,200.1552,0.4052,10.1323,0.1430,annotated,0.1430,-9.9893
165,327,5.6492,593.7878,749.0135,204.2814,35.6630,207.3710,0.4198,9.9028,179.4981,interp,359.4981,-10.4047
166,329,5.6835,600.9522,750.2302,212.8916,36.7277,216.0364,0.4373,9.7882,178.8525,interp,358.8525,-10.9357
167,331,5.7177,608.3657,751.5285,217.3270,35.8560,220.2650,0.4459,9.3686,178.2069,interp,358.2069,-11.1617
168,333,5.7519,615.8338,752.6855,219.0081,31.5735,221.2723,0.4479,8.2036,177.5620,annotated,357.5620,-10.6416
169,335,5.7862,623.3624,753.6905,222.2036,27.2873,223.8728,0.4532,7.0010,177.4310,interp,357.4310,-9.5700
170,337,5.8204,631.0493,754.5540,225.3870,25.4875,226.8235,0.4592,6.4518,177.3000,interp,357.3000,-9.1518
171,339,5.8547,638.7958,755.4358,228.1061,25.5661,229.5343,0.4646,6.3950,177.1690,interp,357.1690,-9.2260
172,341,5.8889,646.6690,756.3046,228.9583,27.3361,230.5844,0.4668,6.8085,177.0380,interp,357.0380,-9.7705
173,343,5.9231,654.4739,757.3076,231.4983,29.2329,233.3367,0.4723,7.1970,176.9070,interp,356.9070,-10.2900
174,345,5.9574,662.5209,758.3064,232.7533,29.5710,234.6243,0.4749,7.2406,176.7760,interp,356.7760,-10.4646
175,347,5.9916,670.4118,759.3325,229.8253,29.7458,231.7422,0.4691,7.3747,176.6450,interp,356.6450,-10.7297
176,349,6.0258,678.2583,760.3432,229.1961,29.0144,231.0253,0.4677,7.2148,176.5140,interp,356.5140,-10.7008
177,351,6.0601,686.1061,761.3193,229.5197,27.5907,231.1721,0.4680,6.8547,176.3830,annotated,356.3830,-10.4717
178,353,6.0943,693.9748,762.2325,229.0070,28.2699,230.7453,0.4671,7.0373,176.4540,interp,356.4540,-10.5833
179,355,6.1286,701.7874,763.2551,229.2562,28.5797,231.0307,0.4677,7.1060,176.5250,interp,356.5250,-10.5810
180,357,6.1628,709.6732,764.1895,226.4756,28.1438,228.2176,0.4620,7.0837,176.5960,interp,356.5960,-10.4877
181,359,6.1970,717.2954,765.1822,219.4386,28.7904,221.3192,0.4480,7.4745,176.6670,interp,356.6670,-10.8075
182,361,6.2313,724.6994,766.1609,215.4810,29.6754,217.5149,0.4403,7.8413,176.7380,interp,356.7380,-11.1033
183,363,6.2655,732.0506,767.2143,217.1108,28.6361,218.9912,0.4433,7.5137,176.8090,annotated,356.8090,-10.7047
184,365,6.2997,739.5661,768.1218,224.0734,28.7288,225.9076,0.4573,7.3061,176.2643,interp,356.2643,-11.0418
185,367,6.3340,747.3941,769.1815,229.9516,29.6577,231.8563,0.4693,7.3491,175.7186,interp,355.7186,-11.6305
186,369,6.3682,755.3122,770.1526,231.8995,28.9439,233.6987,0.4731,7.1144,175.1723,interp,355.1723,-11.9422
187,371,6.4025,763.2736,771.1634,231.8883,31.2826,233.9888,0.4737,7.6830,174.6257,interp,354.6257,-13.0573
188,373,6.4367,771.1908,772.2947,230.7543,35.4904,233.4676,0.4726,8.7437,174.0794,interp,354.0794,-14.6642
189,375,6.4709,779.0746,773.5936,230.7439,34.5752,233.3200,0.4723,8.5219,173.5337,interp,353.5337,-14.9882
190,377,6.5052,786.9911,774.6623,229.8554,29.9081,231.7931,0.4692,7.4135,172.9890,annotated,352.9890,-14.4245
191,379,6.5394,794.8140,775.6416,229.6981,24.1818,230.9675,0.4675,6.0098,,none,,
192,381,6.5736,802.7198,776.3181,231.9602,19.0563,232.7417,0.4711,4.6965,,none,,
193,383,6.6079,810.6976,776.9465,233.8832,18.3008,234.5981,0.4749,4.4741,,none,,
194,385,6.6421,818.7351,777.5713,238.7192,21.2470,239.6629,0.4851,5.0862,,none,,
195,387,6.6764,827.0440,778.4014,241.5230,22.2421,242.5450,0.4910,5.2616,,none,,
196,389,6.7106,835.2735,779.0943,236.3778,18.8841,237.1310,0.4800,4.5676,,none,,
197,391,6.7448,843.2301,779.6945,235.3424,18.9910,236.1074,0.4780,4.6135,,none,,
198,393,6.7791,851.3886,780.3948,241.8715,23.2197,242.9835,0.4919,5.4836,,none,,
199,395,6.8133,859.7923,781.2845,247.1994,26.5975,248.6262,0.5033,6.1411,,none,,
200,397,6.8475,868.3157,782.2160,252.4934,28.0010,254.0413,0.5143,6.3281,,none,,
201,399,6.8818,877.0819,783.2019,253.8794,25.8162,255.1886,0.5166,5.8063,,none,,
202,401,6.9160,885.7002,783.9838,247.9057,19.8628,248.7002,0.5034,4.5809,,none,,
203,403,6.9503,894.0574,784.5620,239.0122,18.9145,239.7594,0.4853,4.5247,,none,,
204,405,6.9845,902.0667,785.2790,231.1131,21.4797,232.1091,0.4699,5.3098,,none,,
205,407,7.0187,909.8830,786.0328,222.2202,22.1572,223.3221,0.4521,5.6940,,none,,
206,409,7.0530,917.2833,786.7962,211.9738,22.8583,213.2027,0.4316,6.1547,,none,,
207,411,7.0872,924.3980,787.5980,213.6621,22.0713,214.7990,0.4348,5.8977,,none,,
208,413,7.1214,931.9139,788.3076,229.1441,18.6193,229.8993,0.4654,4.6454,,none,,
209,415,7.1557,940.0887,788.8730,241.0326,14.6282,241.4761,0.4888,3.4730,,none,,
210,417,7.1899,948.4187,789.3092,249.9166,11.7954,250.1948,0.5065,2.7022,,none,,
211,419,7.2242,957.2019,789.6807,250.6215,9.7225,250.8100,0.5077,2.2216,,none,,
212,421,7.2584,965.5802,789.9750,240.0262,7.6632,240.1485,0.4861,1.8286,,none,,
213,423,7.2926,973.6378,790.2054,234.7648,6.3049,234.8495,0.4754,1.5384,,none,,
214,425,7.3269,981.6558,790.4067,231.0599,4.9062,231.1119,0.4678,1.2164,,none,,
215,427,7.3611,989.4597,790.5414,231.8784,2.8327,231.8957,0.4694,0.6999,,none,,
216,429,7.3953,997.5338,790.6007,248.5878,5.4777,248.6482,0.5033,1.2623,,none,,
217,431,7.4296,1006.4819,790.9165,258.5508,9.7129,258.7332,0.5238,2.1514,,none,,
218,433,7.4638,1015.2382,791.2658,267.8566,9.5658,268.0274,0.5426,2.0453,,none,,
219,435,7.4981,1024.8235,791.5715,280.9538,8.2468,281.0748,0.5690,1.6813,,none,,
220,437,7.5323,1034.4766,791.8305,272.5029,4.5345,272.5406,0.5517,0.9533,,none,,
221,439,7.5665,1043.4832,791.8820,263.6093,0.4243,263.6097,0.5336,0.0922,,none,,
222,441,7.6008,1052.5274,791.8595,258.4435,0.0292,258.4435,0.5232,0.0065,,none,,
223,443,7.6350,1061.1803,791.8840,232.2816,-0.6111,232.2824,0.4702,359.8493,,none,,
224,445,7.6693,1068.4329,791.8177,219.0243,-2.8357,219.0427,0.4434,359.2582,,none,,
225,447,7.7035,1076.1780,791.6898,227.9323,-4.1944,227.9708,0.4615,358.9458,,none,,
